Class,Family,Number,Withdrawn?,Title,Impact,Priority,Description,Supplemental-Guidance,Enhancement 1 Impact,Enhancement 1 Description,Enhancement 1 Supplemental Guidance,Enhancement 2 Impact,Enhancement 2 Description,Enhancement 2 Supplemental Guidance,Enhancement 3 Impact,Enhancement 3 Description,Enhancement 3 Supplemental Guidance,Enhancement 4 Impact,Enhancement 4 Description,Enhancement 4 Supplemental Guidance,Enhancement 5 Impact,Enhancement 5 Description,Enhancement 5 Supplemental Guidance,Enhancement 6 Impact,Enhancement 6 Description,Enhancement 6 Supplemental Guidance,Enhancement 7 Impact,Enhancement 7 Description,Enhancement 7 Supplemental Guidance,Enhancement 8 Impact,Enhancement 8 Description,Enhancement 8 Supplemental Guidance,Enhancement 9 Impact,Enhancement 9 Description,Enhancement 9 Supplemental Guidance,Enhancement 10 Impact,Enhancement 10 Description,Enhancement 10 Supplemental Guidance,Enhancement 11 Impact,Enhancement 11 Description,Enhancement 11 Supplemental Guidance,Enhancement 12 Impact,Enhancement 12 Description,Enhancement 12 Supplemental Guidance,Enhancement 13 Impact,Enhancement 13 Description,Enhancement 13 Supplemental Guidance,Enhancement 14 Impact,Enhancement 14 Description,Enhancement 14 Supplemental Guidance,Enhancement 15 Impact,Enhancement 15 Description,Enhancement 15 Supplemental Guidance,Enhancement 16 Impact,Enhancement 16 Description,Enhancement 16 Supplemental Guidance,Enhancement 17 Impact,Enhancement 17 Description,Enhancement 17 Supplemental Guidance,Enhancement 18 Impact,Enhancement 18 Description,Enhancement 18 Supplemental Guidance
Technical,Access Control,AC-1,,Access Control Policy and Procedures,LOW_MODERATE_HIGH,P1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the access control policy and associated access controls. ","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the access control family. The policy and procedures are consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Existing organizational policies and procedures may make the need for additional specific policies and procedures unnecessary. The access control policy can be included as part of the general information security policy for the organization. Access control procedures can be developed for the security program in general and for a particular information system, when required. The organizational risk management strategy is a key factor in the development of the access control policy. Related control: PM-9. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Access Control,AC-2,,Account Management,LOW_MODERATE_HIGH,P1,"The organization manages information system accounts, including: Identifying account types (i.e., individual, group, system, application, guest/anonymous, and temporary); Establishing conditions for group membership; Identifying authorized users of the information system and specifying access privileges; Requiring appropriate approvals for requests to establish accounts; Establishing, activating, modifying, disabling, and removing accounts; Specifically authorizing and monitoring the use of guest/anonymous and temporary accounts; Notifying account managers when temporary accounts are no longer required and when information system users are terminated, transferred, or information system usage or need-to-know/need-to-share changes; Deactivating: (i) temporary accounts that are no longer required; and (ii) accounts of terminated or transferred users; Granting access to the system based on: (i) a valid access authorization; (ii) intended system usage; and (iii) other attributes as required by the organization or associated missions/business functions; and Reviewing accounts [ Assignment: organization-defined frequency ]. ","The identification of authorized users of the information system and the specification of access privileges is consistent with the requirements in other security controls in the security plan. Users requiring administrative privileges on information system accounts receive additional scrutiny by organizational officials responsible for approving such accounts and privileged access. Related controls: AC-3, AC-4, AC-5, AC-6, AC-10, AC-17, AC-19, AC-20, AU-9, IA-4, IA-5, CM-5, CM-6, MA-3, MA-4, MA-5, SA-7, SC-13, SI-9. ",MODERATE_HIGH,The organization employs automated mechanisms to support the management of information system accounts. ,,MODERATE_HIGH,The information system automatically terminates temporary and emergency accounts after [ Assignment: organization-defined time period for each type of account ]. ,,MODERATE_HIGH,The information system automatically disables inactive accounts after [ Assignment: organization-defined time period ]. ,,MODERATE_HIGH,"The information system automatically audits account creation, modification, disabling, and termination actions and notifies, as required, appropriate individuals. ",,NONE,The organization: Requires that users log out when [ Assignment: organization defined time-period of expected inactivity and/or description of when to log out ]; Determines normal time-of-day and duration usage for information system accounts; Monitors for atypical usage of information system accounts; and Reports atypical usage to designated organizational officials. ,,NONE,The information system dynamically manages user privileges and associated access authorizations. ,"In contrast to conventional access control approaches which employ static information system accounts and predefined sets of user privileges, many service-oriented architecture implementations rely on run time access control decisions facilitated by dynamic privilege management. While user identities remain relatively constant over time, user privileges may change more frequently based on the ongoing mission/business requirements and operational needs of the organization. ",NONE,The organization: Establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes information system and network privileges into roles; and Tracks and monitors privileged role assignments. ,"Privileged roles include, for example, key management, network and system administration, database administration, web administration. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Access Control,AC-3,,Access Enforcement,LOW_MODERATE_HIGH,P1,The information system enforces approved authorizations for logical access to the system in accordance with applicable policy. ,"Access control policies (e.g., identity-based policies, role-based policies, attribute-based policies) and access enforcement mechanisms (e.g., access control lists, access control matrices, cryptography) are employed by organizations to control access between users (or processes acting on behalf of users) and objects (e.g., devices, files, records, processes, programs, domains) in the information system. In addition to enforcing authorized access at the information-system level, access enforcement mechanisms are employed at the application level, when necessary, to provide increased information security for the organization. Consideration is given to the implementation of an audited, explicit override of automated mechanisms in the event of emergencies or other serious events. If encryption of stored information is employed as an access enforcement mechanism, the cryptography used is FIPS 140-2 (as amended) compliant. For classified information, the cryptography used is largely dependent on the classification level of the information and the clearances of the individuals having access to the information. Mechanisms implemented by AC-3 are configured to enforce authorizations determined by other security controls. Related controls: AC-2, AC-4, AC-5, AC-6, AC-16, AC-17, AC-18, AC-19, AC-20, AC-21, AC-22, AU-9, CM-5, CM-6, MA-3, MA-4, MA-5, SA-7, SC-13, SI-9. ",NONE,[ Withdrawn: Incorporated into AC-6 ]. ,,NONE,"The information system enforces dual authorization, based on organizational policies and procedures for [ Assignment: organization-defined privileged commands ]. ",Dual authorization mechanisms require two forms of approval to execute. The organization does not employ dual authorization mechanisms when an immediate response is necessary to ensure public and environmental safety. ,NONE,"The information system enforces [ Assignment: organization-defined nondiscretionary access control policies ] over [ Assignment: organization-defined set of users and resources ] where the policy rule set for each policy specifies: Access control information (i.e., attributes) employed by the policy rule set (e.g., position, nationality, age, project, time of day); and Required relationships among the access control information to permit access. ","Nondiscretionary access control policies that may be implemented by organizations include, for example, Attribute-Based Access Control, Mandatory Access Control, and Originator Controlled Access Control. Nondiscretionary access control policies may be employed by organizations in addition to the employment of discretionary access control policies. For Mandatory Access Control (MAC): Policy establishes coverage over all subjects and objects under its control to ensure that each user receives only that information to which the user is authorized access based on classification of the information, and on user clearance and formal access authorization. The information system assigns appropriate security attributes (e.g., labels/security domains/types) to subjects and objects, and uses these attributes as the basis for MAC decisions. The Bell-LaPadula security model defines allowed access with regard to an organization-defined set of strictly hierarchical security levels as follows: A subject can read an object only if the security level of the subject dominates the security level of the object and a subject can write to an object only if two conditions are met: the security level of the object dominates the security level of the subject, and the security level of the users clearance dominates the security level of the object (no read up, no write down). For Role-Based Access Control (RBAC): Policy establishes coverage over all users and resources to ensure that access rights are grouped by role name, and access to resources is restricted to users who have been authorized to assume the associated role. ",NONE,"The information system enforces a Discretionary Access Control (DAC) policy that: Allows users to specify and control sharing by named individuals or groups of individuals, or by both; Limits propagation of access rights; and Includes or excludes access to the granularity of a single user. ",,NONE,"The information system prevents access to [ Assignment: organization-defined security-relevant information ] except during secure, nonoperable system states. ","Security-relevant information is any information within the information system that can potentially impact the operation of security functions in a manner that could result in failure to enforce the system security policy or maintain isolation of code and data. Filtering rules for routers and firewalls, cryptographic key management information, key configuration parameters for security services, and access control lists are examples of security-relevant information. Secure, nonoperable system states are states in which the information system is not performing mission/business-related processing (e.g., the system is off-line for maintenance, troubleshooting, boot-up, shutdown). ",NONE,The organization encrypts or stores off-line in a secure location [ Assignment: organization-defined user and/or system information ]. ,The use of encryption by the organization reduces the probability of unauthorized disclosure of information and can also detect unauthorized changes to information. Removing information from online storage to offline storage eliminates the possibility of individuals gaining unauthorized access via a network. Related control: MP-4. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Access Control,AC-4,,Information Flow Enforcement,MODERATE_HIGH,P1,The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems in accordance with applicable policy. ,"Information flow control regulates where information is allowed to travel within an information system and between information systems (as opposed to who is allowed to access the information) and without explicit regard to subsequent accesses to that information. A few examples of flow control restrictions include: keeping export controlled information from being transmitted in the clear to the Internet, blocking outside traffic that claims to be from within the organization, and not passing any web requests to the Internet that are not from the internal web proxy. Information flow control policies and enforcement mechanisms are commonly employed by organizations to control the flow of information between designated sources and destinations (e.g., networks, individuals, devices) within information systems and between interconnected systems. Flow control is based on the characteristics of the information and/or the information path. Specific examples of flow control enforcement can be found in boundary protection devices (e.g., proxies, gateways, guards, encrypted tunnels, firewalls, and routers) that employ rule sets or establish configuration settings that restrict information system services, provide a packet-filtering capability based on header information, or message-filtering capability based on content (e.g., using key word searches or document characteristics). Mechanisms implemented by AC-4 are configured to enforce authorizations determined by other security controls. Related controls: AC-17, AC-19, AC-21, CM-7, SA-8, SC-2, SC-5, SC-7, SC-18. ",NONE,"The information system enforces information flow control using explicit security attributes on information, source, and destination objects as a basis for flow control decisions. ","Information flow enforcement mechanisms compare security attributes on all information (data content and data structure), source and destination objects, and respond appropriately (e.g., block, quarantine, alert administrator) when the mechanisms encounter information flows not explicitly allowed by the information flow policy. Information flow enforcement using explicit security attributes can be used, for example, to control the release of certain types of information. ",NONE,"The information system enforces information flow control using protected processing domains (e.g., domain type-enforcement) as a basis for flow control decisions. ",,NONE,The information system enforces dynamic information flow control based on policy that allows or disallows information flows based on changing conditions or operational considerations. ,,NONE,The information system prevents encrypted data from bypassing content-checking mechanisms. ,,NONE,The information system enforces [ Assignment: organization-defined limitations on the embedding of data types within other data types ]. ,,NONE,The information system enforces information flow control on metadata. ,,NONE,The information system enforces [ Assignment: organization-defined one-way flows ] using hardware mechanisms. ,,NONE,The information system enforces information flow control using [ Assignment: organization-defined security policy filters ] as a basis for flow control decisions. ,"Organization-defined security policy filters include, for example, dirty word filters, file type checking filters, structured data filters, unstructured data filters, metadata content filters, and hidden content filters. Structured data permits the interpretation of its content by virtue of atomic elements that are understandable by an application and indivisible. Unstructured data refers to masses of (usually) digital information that does not have a data structure or has a data structure that is not easily readable by a machine. Unstructured data consists of two basic categories: (i) bitmap objects that are inherently non language-based (i.e., image, video, or audio files); and (ii) textual objects that are based on a written or printed language (i.e., commercial off-the-shelf word processing documents, spreadsheets, or emails). ",NONE,The information system enforces the use of human review for [ Assignment: organization-defined security policy filters ] when the system is not capable of making an information flow control decision. ,,NONE,The information system provides the capability for a privileged administrator to enable/disable [ Assignment: organization-defined security policy filters ]. ,,NONE,The information system provides the capability for a privileged administrator to configure [ Assignment: organization-defined security policy filters ] to support different security policies. ,"For example, to reflect changes in the security policy, an administrator can change the list of ""dirty words"" that the security policy mechanism checks in accordance with the definitions provided by the organization. ",NONE,"The information system, when transferring information between different security domains, identifies information flows by data type specification and usage. ","Data type specification and usage include, for example, using file naming to reflect type of data and limiting data transfer based on file type. ",NONE,"The information system, when transferring information between different security domains, decomposes information into policy-relevant subcomponents for submission to policy enforcement mechanisms. ","Policy enforcement mechanisms include the filtering and/or sanitization rules that are applied to information prior to transfer to a different security domain. Parsing transfer files facilitates policy decisions on source, destination, certificates, classification, subject, attachments, and other information security-related component differentiators. Policy rules for cross domain transfers include, for example, limitations on embedding components/information types within other components/information types, prohibiting more than two-levels of embedding, and prohibiting the transfer of archived information types. ",NONE,"The information system, when transferring information between different security domains, implements policy filters that constrain data structure and content to [ Assignment: organization-defined information security policy requirements ]. ","Constraining file lengths, allowed enumerations, character sets, schemas, and other data object attributes reduces the range of potential malicious and/or unsanctioned content. Examples of constraints include ensuring that: (i) character data fields only contain printable ASCII; (ii) character data fields only contain alpha-numeric characters; (iii) character data fields do not contain special characters; or (iv) maximum field sizes and file lengths are enforced based upon organization-defined security policy ",NONE,"The information system, when transferring information between different security domains, detects unsanctioned information and prohibits the transfer of such information in accordance with the security policy. ","Actions to support this enhancement include: checking all transferred information for malware, implementing dirty word list searches on transferred information, and applying the same protection measures to metadata (e.g., security attributes) that is applied to the information payload. ",NONE,The information system enforces security policies regarding information on interconnected systems. ,"Transferring information between interconnected information systems of differing security policies introduces risk that such transfers violate one or more policies. While security policy violations may not be absolutely prohibited, policy guidance from information owners/stewards is implemented at the policy enforcement point between the interconnected systems. Specific architectural solutions are mandated, when required, to reduce the potential for undiscovered vulnerabilities. Architectural solutions include, for example: (i) prohibiting information transfers between interconnected systems (i.e. implementing access only, one way transfer mechanisms); (ii) employing hardware mechanisms to enforce unitary information flow directions; and (iii) implementing fully tested, re-grading mechanisms to reassign security attributes and associated security labels. ",NONE,The information system: Uniquely identifies and authenticates source and destination domains for information transfer; Binds security attributes to information to facilitate information flow policy enforcement; and Tracks problems associated with the security attribute binding and information transfer. ,"Attribution is a critical component of a security concept of operations. The ability to identify source and destination points for information flowing in an information system, allows forensic reconstruction of events when required, and increases policy compliance by attributing policy violations to specific organizations/individuals. Means to enforce this enhancement include ensuring that the information system resolution labels distinguish between information systems and organizations, and between specific system components or individuals involved in preparing, sending, receiving, or disseminating information. ",,,
Technical,Access Control,AC-5,,Separation of Duties,MODERATE_HIGH,P1,"The organization: Separates duties of individuals as necessary, to prevent malevolent activity without collusion; Documents separation of duties; and Implements separation of duties through assigned information system access authorizations. ","Examples of separation of duties include: (i) mission functions and distinct information system support functions are divided among different individuals/roles; (ii) different individuals perform information system support functions (e.g., system management, systems programming, configuration management, quality assurance and testing, network security); (iii) security personnel who administer access control functions do not administer audit functions; and (iv) different administrator accounts for different roles. Access authorizations defined in this control are implemented by control AC-3. Related controls: AC-3. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Access Control,AC-6,,Least Privilege,MODERATE_HIGH,P1,"The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions. ","The access authorizations defined in this control are largely implemented by control AC-3. The organization employs the concept of least privilege for specific duties and information systems (including specific ports, protocols, and services) in accordance with risk assessments as necessary to adequately mitigate risk to organizational operations and assets, individuals, other organizations, and the Nation. Related controls: AC-2, AC-3, CM-7. ",MODERATE_HIGH,"The organization explicitly authorizes access to [ Assignment: organization-defined list of security functions (deployed in hardware, software, and firmware) and security-relevant information ]. ","Establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters are examples of security functions. Explicitly authorized personnel include, for example, security administrators, system and network administrators, system security officers, system maintenance personnel, system programmers, and other privileged users. Related control: AC-17. ",MODERATE_HIGH,"The organization requires that users of information system accounts, or roles, with access to [ Assignment: organization-defined list of security functions or security-relevant information ], use non-privileged accounts, or roles, when accessing other system functions, and if feasible, audits any use of privileged accounts, or roles, for such functions. ",This control enhancement is intended to limit exposure due to operating from within a privileged account or role. The inclusion of role is intended to address those situations where an access control policy such as Role Based Access Control (RBAC) is being implemented and where a change of role provides the same degree of assurance in the change of access authorizations for both the user and all processes acting on behalf of the user as would be provided by a change between a privileged and non-privileged account. Audit of privileged activity may require physical separation employing information systems on which the user does not have privileged access. ,NONE,The organization authorizes network access to [ Assignment: organization-defined privileged commands ] only for compelling operational needs and documents the rationale for such access in the security plan for the information system. ,,NONE,The information system provides separate processing domains to enable finer-grained allocation of user privileges. ,Employing virtualization techniques to allow greater privilege within a virtual machine while restricting privilege to the underlying actual machine is an example of providing separate processing domains for finer-grained allocation of user privileges. ,NONE,The organization limits authorization to super user accounts on the information system to designated system administration personnel. ,"Super user accounts are typically described as ""root"" or ""administrator"" for various types of commercial off-the-shelf operating systems. Configuring organizational information systems (e.g., notebook/laptop computers, servers, workstations) such that day-to-day users are not authorized access to super user accounts is an example of limiting system authorization. The organization may differentiate in the application of this control enhancement between allowed privileges for local information system accounts and for domain accounts provided the organization retains the ability to control the configuration of the system with regard to key security parameters and as otherwise necessary to sufficiently mitigate risk. ",NONE,The organization prohibits privileged access to the information system by non-organizational users. ,"A qualified organizational user may be advised by a non-organizational user, if necessary. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Access Control,AC-7,,Unsuccessful Login Attempts,LOW_MODERATE_HIGH,P2,The information system: Enforces a limit of [ Assignment: organization-defined number ] consecutive invalid login attempts by a user during a [ Assignment: organization-defined time period ]; and Automatically [ Selection: locks the account/node for an [ Assignment: organization-defined time period ] ; locks the account/node until released by an administrator; delays next login prompt according to [ Assignment: organization-defined delay algorithm ]] when the maximum number of unsuccessful attempts is exceeded. The control applies regardless of whether the login occurs via a local or network connection. ,"Due to the potential for denial of service, automatic lockouts initiated by the information system are usually temporary and automatically release after a predetermined time period established by the organization. If a delay algorithm is selected, the organization may chose to employ different algorithms for different information system components based on the capabilities of those components. Response to unsuccessful login attempts may be implemented at both the operating system and the application levels. This control applies to all accesses other than those accesses explicitly identified and documented by the organization in AC-14. ",NONE,The information system automatically locks the account/node until released by an administrator when the maximum number of unsuccessful attempts is exceeded ,,NONE,"The information system provides additional protection for mobile devices accessed via login by purging information from the device after [ Assignment: organization-defined number ] consecutive, unsuccessful login attempts to the device. ","This enhancement applies only to mobile devices for which a login occurs (e.g., personal digital assistants) and not to mobile devices accessed without a login such as removable media. In certain situations, this enhancement may not apply to mobile devices if the information on the device is encrypted with sufficiently strong encryption mechanisms, making purging unnecessary. The login is to the mobile device, not to any one account on the device. Therefore, a successful login to any account on the mobile device resets the unsuccessful login count to zero. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Access Control,AC-8,,System Use Notification,LOW_MODERATE_HIGH,P1,"The information system: Displays an approved system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: (i) users are accessing a U.S. Government information system; (ii) system usage may be monitored, recorded, and subject to audit; (iii) unauthorized use of the system is prohibited and subject to criminal and civil penalties; and (iv) use of the system indicates consent to monitoring and recording; Retains the notification message or banner on the screen until users take explicit actions to log on to or further access the information system; and For publicly accessible systems: (i) displays the system use information when appropriate, before granting further access; (ii) displays references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and (iii) includes in the notice given to public users of the information system, a description of the authorized uses of the system. ",System use notification messages can be implemented in the form of warning banners displayed when individuals log in to the information system. System use notification is intended only for information system access that includes an interactive login interface with a human user and is not intended to require notification when an interactive interface does not exist. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Access Control,AC-9,,Previous Logon (Access) Notification,NONE,P0,"The information system notifies the user, upon successful logon (access), of the date and time of the last logon (access). ","This control is intended to cover both traditional logons to information systems and general accesses to information systems that occur in other types of architectural configurations (e.g., service oriented architectures). ",NONE,"The information system notifies the user, upon successful logon/access, of the number of unsuccessful logon/access attempts since the last successful logon/access. ",,NONE,The information system notifies the user of the number of [ Selection: successful logins/accesses; unsuccessful login/access attempts; both ] during [ Assignment: organization-defined time period ]. ,,NONE,The information system notifies the user of [ Assignment: organization-defined set of security-related changes to the users account ] during [ Assignment: organization-defined time period ]. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Access Control,AC-10,,Concurrent Session Control,HIGH,P2,The information system limits the number of concurrent sessions for each system account to [ Assignment: organization-defined number ]. ,"The organization may define the maximum number of concurrent sessions for an information system account globally, by account type, by account, or a combination. This control addresses concurrent sessions for a given information system account and does not address concurrent sessions by a single user via multiple system accounts. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
